fishing_number,previous_companies,blacklisted_in,previous_callsign,name,links,owner_company,mmsi,url,system,imo,previous_flags,previous_names,source,flag,callsign,notes,date,vessel_length,controller_region,class
,,"Greenpeace
Reason for blacklisting: Illegal fishing in Cook Islands EEZ
Source of IUU information: http://international-law-offices.com/news/",,Adelita,,Adelita Fishing LLC,,http://blacklist.greenpeace.org/1/vessel/show/34-adelita,,8976982.0,Cook Islands,,GreenpeaceBlacklist,American Samoa,WDA6355,"The fishing boat FV Adelita was caught illegally fishing in Cook Islands waters during an inspection on board on the 22-23 of Novebemr 2004. The captain of the vessel Harry Burgess was fined by the high court a total of $450,000 [NZ]. Burgess pleaded guilty to three charges under the Marine Resources Act 1989 - for fishing inside the fisheries waters of the Cook Islands",1994-12-31,27.3,United States,Longline
,,"Greenpeace
Reason for blacklisting: Illegal Fishing inside Liberia EEZ
Source of IUU information: http://liberiafisheries.net/sites/default/files/pdf/Dong_settle_agreement_by_fv_premier_fv_solvant.pdf",,Adria,"http://www.greenpeace.org/internationa l/Global/international/briefings/ocean s/2013/Korea-fisheries-scandal-briefin g.pdf  Greenpeace Korea report on IUU April 2013
http://www.stopillegalfishing.com/sifn ews_article.php?ID=77  Stop Illegal Fishing report IUU West Africa
http://www.stopillegalfishing.com/sifn ews_article.php?ID=106  Stop Illegal Fishing report Sechelles deny Premier",Dongwon Industries Company Limited,441734000,http://blacklist.greenpeace.org/1/vessel/show/218-adria,,8919489,Liberia,Mengoe,GreenpeaceBlacklist,"Korea, Republic of",DTBY3,"• February 2012 – SIF reports on Illegal Fishing in West Africa, including naming the Premier as one of the vessels monitored by the Trygg Mat Foundation* fishing illegally in Liberian waters.• December 2012 – facilitated by FISH-i Africa and SIF, Liberia sends an official request to the Mauritian government for assistance and inspection of the Premier. An inspection takes place and several documents are found that confirm the suspicions of illegal fishing in Liberian waters.• January 2013 - Several FISH-i Africa countries in the Western Indian Ocean deny a fishing licence to the Premier due to the on-going IUU case in Liberia.• January 2013 - An employee of Dongwon Industries",2013-09-02,70.66,"Korea, Republic of",Purse Seiner
,,"Greenpeace
Reason for blacklisting: ICCAT Recommendation [03-04] relating to Mediterranean swordfish prohibits the use of driftnets for fisheries of large pelagics in the Mediterranean Sea. It is the responsibility of all ICCAT Contracting Parties to enforce this Recommendation and adopt a specific
management plan in order to protect the stock of swordfish in the Mediterranean Sea and sustain this fishery. This continued illegal activity should have come to an end when the European Union banned the use of driftnets for catching a wide range of pelagic fishes. EC Regulation EC/1239/98, that entered into force on January 2002.
Source of IUU information: Vessel observed during Greenpeace Mediterranean Rainbow Warrior tour 2007",,Ahmed Helmi,http://www.greenpeace.org/raw/content/ international/press/reports/pirate-boo ty.pdf  Pirate Booty: How Iccat failed to curb IUU fishing,,,http://blacklist.greenpeace.org/1/vessel/show/169-ahmed-helmi,,,,,GreenpeaceBlacklist,Tunisia,,"On the morning of 20 June 2007, a dozen vessels were spotted from the Rainbow Warrior, among them six Tunisian driftnet vessels which were identified as fishing on the high seas.",2007-06-20,,Tunisia,Driftnetter
,,"Greenpeace
Reason for blacklisting: ICCAT Recommendation [03-04] relating to Mediterranean swordfish prohibits the use of driftnets for fisheries of large pelagics in the Mediterranean Sea. It is the responsibility of all ICCAT Contracting Parties to enforce this Recommendation and adopt a specific
management plan in order to protect the stock of swordfish in the Mediterranean Sea and sustain this fishery. This continued illegal activity should have come to an end when the European Union banned the use of driftnets for catching a wide range of pelagic fishes. EC Regulation EC/1239/98, that entered into force on January 2002.
Source of IUU information: Vessel observed by Greenpeace Mediterranean Rainbow Warrior tour 2007",,Ahmed Khalil,http://www.greenpeace.org/raw/content/ international/press/reports/pirate-boo ty.pdf  Pirate Booty: How Iccat failed to curb IUU fishing,,,http://blacklist.greenpeace.org/1/vessel/show/168-ahmed-khalil,,,,,GreenpeaceBlacklist,Tunisia,,"On the morning of 20 June 2007, a dozen vessels were spotted from the Rainbow Warrior, among them six Tunisian driftnet vessels which were identified as fishing on the high seas.",2007-05-20,,Tunisia,Driftnetter
MO800,,"Greenpeace
Reason for blacklisting: ICCAT Recommendation [03-04] relating to Mediterranean swordfish prohibits the use of driftnets for fisheries of large pelagics in the Mediterranean Sea. It is the responsibility of all ICCAT Contracting Parties to enforce this Recommendation and adopt a specific
management plan in order to protect the stock of swordfish in the Mediterranean Sea and sustain this fishery. This continued illegal activity should have come to an end when the European Union banned the use of driftnets for catching a wide range of pelagic fishes. EC Regulation EC/1239/98, that entered into force on January 2002.
Source of IUU information: Vessel observed during Greenpeace Mediterranean Rainbow Warrior tour 2007",,Aladin,,,,http://blacklist.greenpeace.org/1/vessel/show/170-aladin,,,,,GreenpeaceBlacklist,Tunisia,,"On the morning of 20 June 2007, a dozen vessels were spotted from the Rainbow Warrior, among them six Tunisian driftnet vessels which were identified as fishing on the high seas.",2007-06-20,,Tunisia,Driftnetter
VIGO 3a 5-1-96,,"Greenpeace
Reason for blacklisting: ""Violation of the Marshall Islands Shark Sanctuary, which was passed into law in October 2011 and violation of
IATTC Resolution C-11-01, which requires vessels to retain all catch of skipjack tuna.""

Source of IUU information: http://www.nmfs.noaa.gov/ia/iuu/msra_page/2013_biennial_report_to_congress__jan_11__2013__final.pdf
http://www.sharkdefenders.com/2012/07/pirates-busted-for-poaching-sharks-in.html#sthash.f9B9HPqj.dpuf
http://www.lloydslistintelligence.com/llint/vessels/overview.htm?vesselId=272299",,Albacora Uno,,Albacora SA,224782000,http://blacklist.greenpeace.org/1/vessel/show/231-albacora-uno,,9127435,,,GreenpeaceBlacklist,Spain,EAMB,"July 2012 - Three fishing vessels were caught with shark skins, fins, and carcasses on board by the Marshall Islands Marine Resources Authority",1995-12-21,105,Spain,Purse Seiner
,,"Greenpeace
Reason for blacklisting: 
Source of IUU information: NEAFC",,Alfa,,,,http://blacklist.greenpeace.org/1/vessel/show/132-alfa-total-loss,,7436533.0,Belize,Marlin,GreenpeaceBlacklist,Georgia,4LPN,,Total Loss ,55.0,Lithuania,Reefer
,,"Greenpeace
Reason for blacklisting: Illegal fishing inside Sierra Leone inshore zone
Source of IUU information: http://www.lloydslistintelligence.com/llint/vessels/overview.htm?vesselId=274737&channel;=home

http://ejfoundation.org/sites/default/files/public/Pirate%20Fishing%20Exposed.pdf

https://webgate.ec.europa.eu/sanco/traces/output/KR/FFP_KR_fr.pdf

http://www.ropes.co.kr/Dongyang_fisheries_homepage/e-company-2.asp",,Amapola 515,,Dong Yang Fisheries Company Limited,440938000,http://blacklist.greenpeace.org/1/vessel/show/223-amapola-515,,7355492,,,GreenpeaceBlacklist,"Korea, Republic of",DTAP3,"Between January and March 2011, EJF documented four vessels fishing illegally in the inshore areas near Sherbro Island in Sierra Leone: Medra, Marcia 707, 515 Amapola and Seta 70. All of the vessels are Korean-flagged and accredited to export their fish to the EU, though Medra has also been listed as flagged to Honduras. The vessels were responsible for causing extensive damage to local fishing equipment in the IEZ.",1995-01-01,56.6,"Korea, Republic of",Bottom Trawler
1215734,,"Greenpeace
Reason for blacklisting: Conducted six sets on or within one nautical mile of a fish aggregating device",,American Triumph,,AMERICAN TRIUMPH FISHING LLC,367383720 ,http://blacklist.greenpeace.org/1/vessel/show/236-american-triumph,,,,,GreenpeaceBlacklist,United States,WDE 6712,"Decisions were issued the week of August 19, 2013, in two separate enforcement cases from the Pacific Islands involving U.S. purse seine vessels fishing in violation of the Western and Central Pacific Fisheries Convention Implementation Act",2008-01-17,75.3,United States,Purse Seiner
,,"Greenpeace
Reason for blacklisting: Unreported catch
Source of IUU information: http://oceans.greenpeace.org/en/documents-reports/mumrinskiy-jan-2007",,Antares,,Sever Fishing Collective,273428300.0,http://blacklist.greenpeace.org/1/vessel/show/23-antares,,9076234.0,,,GreenpeaceBlacklist,Russian Federation,UFIP,"On behalf of Antares, the Mumrinskiy offloaded minimum 50 tonnes unreported headed and gutted cod",1992-01-01,54.8,Russian Federation,Trawler
