mmsi,v_name,v_class,v_callsign,v_imo,v_flag,v_system,v_mmsi,v_source
273357230,SINEKURA,Aggregates Carrier,UBKH3,9066875, Russia,,273357230,VesselFinder
357588000,CAI JUN 2,Aggregates Carrier,HOWF,8665870, Panama,,357588000,VesselFinder
376700000,B/M CRUZ DEL SUR,Aggregates Carrier,ZPRQ,7911595, St Vincent & Grenadines,,376700000,VesselFinder
258311000,KNM VALKYRIEN,Anchor Handling Vessel,LBEA,8008541, Norway,,258311000,VesselFinder
367441110,CLEAT,Anti-polution,WDF3538,, USA,,367441110,VesselFinder
367514780,OCEAN SCOUT,Anti-polution,WDG2354,, USA,,367514780,VesselFinder
367520510,OCEAN GUARDIAN,Anti-polution,WDG2908,, USA,,367520510,VesselFinder
367534910,OCEAN SENTINEL,Anti-polution,WDG4282,, USA,,367534910,VesselFinder
443004212,ANTONIO DAVID,Anti-polution,PS-7014,, Unknown,,443004212,VesselFinder
663026000,SAMBA LAOBE FALL,Anti-polution,6WIV,, Senegal,,663026000,VesselFinder
236111758,IVER BEST,Asphalt/Bitumen Tanker,ZDKN7,9588275, Gibraltar,,236111758,VesselFinder
236594000,IVER BEAUTY,Asphalt/Bitumen Tanker,ZDKD4,9588263, Gibraltar,,236594000,VesselFinder
236623000,IVER BLESSING,Asphalt/Bitumen Tanker,ZDKP2,9588287, Gibraltar,,236623000,VesselFinder
269032000,SAN BEATO,Asphalt/Bitumen Tanker,HBLC,9531765, Switzerland,,269032000,VesselFinder
316188000,THALASSA DESGAGNES,Asphalt/Bitumen Tanker,VORX,7382988, Canada,,316188000,VesselFinder
355531000,OCEAN SAPPHIRE I,Asphalt/Bitumen Tanker,3FOD9,9115432, Panama,,355531000,VesselFinder
356714000,GP ASPHALT I,Asphalt/Bitumen Tanker,H8WW,9120891, Panama,,356714000,VesselFinder
371737000,XING HAI WAN,Asphalt/Bitumen Tanker,HP5831,9570113, Panama,,371737000,VesselFinder
413369000,PENG HU WAN,Asphalt/Bitumen Tanker,BQCZ,9469314, China,,413369000,VesselFinder
431001045,TAIRAMARU,Asphalt/Bitumen Tanker,JD2968,9553098, Japan,,431001045,VesselFinder
431400649,NICHIASUMARU NO.11,Asphalt/Bitumen Tanker,JK5541,9163099, Japan,,431400649,VesselFinder
441611000,OCEAN WORLD,Asphalt/Bitumen Tanker,DSQK8,9528718, Korea,,441611000,VesselFinder
477229900,SAN DU AO,Asphalt/Bitumen Tanker,VRIP6,9608752, Hong Kong,,477229900,VesselFinder
477513000,NEW MILLENNIUM,Asphalt/Bitumen Tanker,VRYU9,9291171, Hong Kong,,477513000,VesselFinder
477938700,ZHUANG YUAN AO,Asphalt/Bitumen Tanker,VRKU4,9650339, Hong Kong,,477938700,VesselFinder
